date,district,disaster
2022-01-06,Kegalle,none
2022-01-06,Kilinochchi,none
2022-01-06,Kurunegala,none
2022-01-06,Mannar,none
2022-01-06,Matale,none
2022-01-06,Matara,none
2022-01-06,Monaragala,none
2022-01-06,Mullaitivu,none
2022-01-06,Nuwara Eliya,none
2022-01-06,Polonnaruwa,none
2022-01-06,Puttalam,none
2022-01-06,Ratnapura,none
2022-01-06,Trincomalee,none
2022-01-06,Vavuniya,none
2022-01-07,Ampara,none
2022-01-07,Anuradhapura,none
2022-01-07,Badulla,none
2022-01-07,Batticaloa,none
2022-01-07,Colombo,none
2022-01-07,Galle,none
2022-01-07,Gampaha,none
2022-01-07,Hambantota,none
2022-01-07,Jaffna,none
2022-01-07,Kalutara,none
2022-01-07,Kandy,none
2022-01-07,Kegalle,none
2022-01-07,Kilinochchi,none
2022-01-07,Kurunegala,none
2022-01-07,Mannar,none
2022-01-07,Matale,none
2022-01-07,Matara,none
2022-01-07,Monaragala,none
2022-01-07,Mullaitivu,none
2022-01-07,Nuwara Eliya,none
2022-01-07,Polonnaruwa,none
2022-01-07,Puttalam,none
2022-01-07,Ratnapura,none
2022-01-07,Trincomalee,none
2022-01-07,Vavuniya,none
2022-01-08,Ampara,none
2022-01-08,Anuradhapura,none
2022-01-08,Badulla,none
2022-01-08,Batticaloa,none
2022-01-08,Colombo,none
2022-01-08,Galle,none
2022-01-08,Gampaha,none
2022-01-08,Hambantota,none
2022-01-08,Jaffna,none
2022-01-08,Kalutara,none
2022-01-08,Kandy,none
2022-01-08,Kegalle,none
2022-01-08,Kilinochchi,none
2022-01-08,Kurunegala,none
2022-01-08,Mannar,none
2022-01-08,Matale,none
2022-01-08,Matara,none
2022-01-08,Monaragala,none
2022-01-08,Mullaitivu,none
2022-01-08,Nuwara Eliya,none
2022-01-08,Polonnaruwa,none
2022-01-08,Puttalam,none
2022-01-08,Ratnapura,none
2022-01-08,Trincomalee,none
2022-01-08,Vavuniya,none
2022-01-09,Ampara,none
2022-01-09,Anuradhapura,none
2022-01-09,Badulla,none
2022-01-09,Batticaloa,none
2022-01-09,Colombo,none
2022-01-09,Galle,none
2022-01-09,Gampaha,none
2022-01-09,Hambantota,none
2022-01-09,Jaffna,none
2022-01-09,Kalutara,none
2022-01-09,Kandy,none
2022-01-09,Kegalle,none
2022-01-09,Kilinochchi,none
2022-01-09,Kurunegala,none
2022-01-09,Mannar,none
2022-01-09,Matale,none
2022-01-09,Matara,none
2022-01-09,Monaragala,none
2022-01-09,Mullaitivu,none
2022-01-09,Nuwara Eliya,none
2022-01-09,Polonnaruwa,none
2022-01-09,Puttalam,none
2022-01-09,Ratnapura,none
2022-01-09,Trincomalee,none
2022-01-09,Vavuniya,none
2022-01-10,Ampara,none
2022-01-10,Anuradhapura,none
2022-01-10,Badulla,none
2022-01-10,Batticaloa,none
2022-01-10,Colombo,none
2022-01-10,Galle,none
2022-01-10,Gampaha,none
2022-01-10,Hambantota,none
2022-01-10,Jaffna,none
2022-01-10,Kalutara,none
2022-01-10,Kandy,none
2022-01-10,Kegalle,none
2022-01-10,Kilinochchi,none
2022-01-10,Kurunegala,none
2022-01-10,Mannar,none
2022-01-10,Matale,none
2022-01-10,Matara,none
2022-01-10,Monaragala,none
2022-01-10,Mullaitivu,none
2022-01-10,Nuwara Eliya,none
2022-01-10,Polonnaruwa,none
2022-01-10,Puttalam,none
2022-01-10,Ratnapura,none
2022-01-10,Trincomalee,none
2022-01-10,Vavuniya,none
2022-01-11,Ampara,none
2022-01-11,Anuradhapura,none
2022-01-11,Badulla,none
2022-01-11,Batticaloa,none
2022-01-11,Colombo,none
2022-01-11,Galle,none
2022-01-11,Gampaha,none
2022-01-11,Hambantota,none
2022-01-11,Jaffna,none
2022-01-11,Kalutara,none
2022-01-11,Kandy,none
2022-01-11,Kegalle,none
2022-01-11,Kilinochchi,none
2022-01-11,Kurunegala,none
2022-01-11,Mannar,none
2022-01-11,Matale,none
2022-01-11,Matara,none
2022-01-11,Monaragala,none
2022-01-11,Mullaitivu,none
2022-01-11,Nuwara Eliya,none
2022-01-11,Polonnaruwa,none
2022-01-11,Puttalam,none
2022-01-11,Ratnapura,none
2022-01-11,Trincomalee,none
2022-01-11,Vavuniya,none
2022-01-12,Ampara,none
2022-01-12,Anuradhapura,none
2022-01-12,Badulla,none
2022-01-12,Batticaloa,none
2022-01-12,Colombo,none
2022-01-12,Galle,none
2022-01-12,Gampaha,none
2022-01-12,Hambantota,none
2022-01-12,Jaffna,none
2022-01-12,Kalutara,none
2022-01-12,Kandy,none
2022-01-12,Kegalle,none
2022-01-12,Kilinochchi,none
2022-01-12,Kurunegala,none
2022-01-12,Mannar,none
2022-01-12,Matale,none
2022-01-12,Matara,none
2022-01-12,Monaragala,none
2022-01-12,Mullaitivu,none
2022-01-12,Nuwara Eliya,none
2022-01-12,Polonnaruwa,none
2022-01-12,Puttalam,none
2022-01-12,Ratnapura,none
2022-01-12,Trincomalee,none
2022-01-12,Vavuniya,none
2022-01-13,Ampara,none
2022-01-13,Anuradhapura,none
2022-01-13,Badulla,none
2022-01-13,Batticaloa,none
2022-01-13,Colombo,none
2022-01-13,Galle,none
2022-01-13,Gampaha,none
2022-01-13,Hambantota,none
2022-01-13,Jaffna,none
2022-01-13,Kalutara,none
2022-01-13,Kandy,none
2022-01-13,Kegalle,none
2022-01-13,Kilinochchi,none
2022-01-13,Kurunegala,none
2022-01-13,Mannar,none
2022-01-13,Matale,none
2022-01-13,Matara,none
2022-01-13,Monaragala,none
2022-01-13,Mullaitivu,none
2022-01-13,Nuwara Eliya,none
2022-01-13,Polonnaruwa,none
2022-01-13,Puttalam,none
2022-01-13,Ratnapura,none
2022-01-13,Trincomalee,none
2022-01-13,Vavuniya,none
2022-01-14,Ampara,none
2022-01-14,Anuradhapura,none
2022-01-14,Badulla,none
2022-01-14,Batticaloa,none
2022-01-14,Colombo,none
2022-01-14,Galle,none
2022-01-14,Gampaha,none
2022-01-14,Hambantota,none
2022-01-14,Jaffna,none
2022-01-14,Kalutara,none
2022-01-14,Kandy,none
2022-01-14,Kegalle,none
2022-01-14,Kilinochchi,none
2022-01-14,Kurunegala,none
2022-01-14,Mannar,none
2022-01-14,Matale,none
2022-01-14,Matara,none
2022-01-14,Monaragala,none
2022-01-14,Mullaitivu,none
2022-01-14,Nuwara Eliya,none
2022-01-14,Polonnaruwa,none
2022-01-14,Puttalam,none
2022-01-14,Ratnapura,none
2022-01-14,Trincomalee,none
2022-01-14,Vavuniya,none
2022-01-15,Ampara,none
2022-01-15,Anuradhapura,none
2022-01-15,Badulla,none
2022-01-15,Batticaloa,none
2022-01-15,Colombo,none
2022-01-15,Galle,none
2022-01-15,Gampaha,none
2022-01-15,Hambantota,none
2022-01-15,Jaffna,none
2022-01-15,Kalutara,none
2022-01-15,Kandy,none
2022-01-15,Kegalle,none
2022-01-15,Kilinochchi,none
2022-01-15,Kurunegala,none
2022-01-15,Mannar,none
2022-01-15,Matale,none
2022-01-15,Matara,none
2022-01-15,Monaragala,none
2022-01-15,Mullaitivu,none
2022-01-15,Nuwara Eliya,none
2022-01-15,Polonnaruwa,none
2022-01-15,Puttalam,none
2022-01-15,Ratnapura,none
2022-01-15,Trincomalee,none
2022-01-15,Vavuniya,none
2022-01-16,Ampara,none
2022-01-16,Anuradhapura,none
2022-01-16,Badulla,none
2022-01-16,Batticaloa,none
2022-01-16,Colombo,none
2022-01-16,Galle,none
2022-01-16,Gampaha,none
2022-01-16,Hambantota,none
2022-01-16,Jaffna,none
2022-01-16,Kalutara,none
2022-01-16,Kandy,none
2022-01-16,Kegalle,none
2022-01-16,Kilinochchi,none
2022-01-16,Kurunegala,none
2022-01-16,Mannar,none
2022-01-16,Matale,none
2022-01-16,Matara,none
2022-01-16,Monaragala,none
2022-01-16,Mullaitivu,none
2022-01-16,Nuwara Eliya,none
2022-01-16,Polonnaruwa,none
2022-01-16,Puttalam,none
2022-01-16,Ratnapura,none
2022-01-16,Trincomalee,none
2022-01-16,Vavuniya,none
2022-01-17,Ampara,none
2022-01-17,Anuradhapura,none
2022-01-17,Badulla,none
2022-01-17,Batticaloa,none
2022-01-17,Colombo,none
2022-01-17,Galle,none
2022-01-17,Gampaha,none
2022-01-17,Hambantota,none
2022-01-17,Jaffna,none
2022-01-17,Kalutara,none
2022-01-17,Kandy,none
2022-01-17,Kegalle,none
2022-01-17,Kilinochchi,none
2022-01-17,Kurunegala,none
2022-01-17,Mannar,none
2022-01-17,Matale,none
2022-01-17,Matara,none
2022-01-17,Monaragala,none
2022-01-17,Mullaitivu,none
2022-01-17,Nuwara Eliya,none
2022-01-17,Polonnaruwa,none
2022-01-17,Puttalam,none
2022-01-17,Ratnapura,none
2022-01-17,Trincomalee,none
2022-01-17,Vavuniya,none
2022-01-18,Ampara,none
2022-01-18,Anuradhapura,none
2022-01-18,Badulla,none
2022-01-18,Batticaloa,none
2022-01-18,Colombo,none
2022-01-18,Galle,none
2022-01-18,Gampaha,none
2022-01-18,Hambantota,none
2022-01-18,Jaffna,none
2022-01-18,Kalutara,none
2022-01-18,Kandy,none
2022-01-18,Kegalle,none
2022-01-18,Kilinochchi,none
2022-01-18,Kurunegala,none
2022-01-18,Mannar,none
2022-01-18,Matale,none
2022-01-18,Matara,none
2022-01-18,Monaragala,none
2022-01-18,Mullaitivu,none
2022-01-18,Nuwara Eliya,none
2022-01-18,Polonnaruwa,none
2022-01-18,Puttalam,none
2022-01-18,Ratnapura,none
2022-01-18,Trincomalee,none
2022-01-18,Vavuniya,none
2022-01-19,Ampara,none
2022-01-19,Anuradhapura,none
2022-01-19,Badulla,none
2022-01-19,Batticaloa,none
2022-01-19,Colombo,none
2022-01-19,Galle,none
2022-01-19,Gampaha,none
2022-01-19,Hambantota,none
2022-01-19,Jaffna,none
2022-01-19,Kalutara,none
2022-01-19,Kandy,none
2022-01-19,Kegalle,none
2022-01-19,Kilinochchi,none
2022-01-19,Kurunegala,none
2022-01-19,Mannar,none
2022-01-19,Matale,none
2022-01-19,Matara,none
2022-01-19,Monaragala,none
2022-01-19,Mullaitivu,none
2022-01-19,Nuwara Eliya,none
2022-01-19,Polonnaruwa,none
2022-01-19,Puttalam,none
2022-01-19,Ratnapura,none
2022-01-19,Trincomalee,none
2022-01-19,Vavuniya,none
2022-01-20,Ampara,none
2022-01-20,Anuradhapura,none
2022-01-20,Badulla,none
2022-01-20,Batticaloa,none
2022-01-20,Colombo,none
2022-01-20,Galle,none
2022-01-20,Gampaha,none
2022-01-20,Hambantota,none
2022-01-20,Jaffna,none
2022-01-20,Kalutara,none
2022-01-20,Kandy,none
2022-01-20,Kegalle,none
2022-01-20,Kilinochchi,none
2022-01-20,Kurunegala,none
2022-01-20,Mannar,none
2022-01-20,Matale,none
2022-01-20,Matara,none
2022-01-20,Monaragala,none
2022-01-20,Mullaitivu,none
2022-01-20,Nuwara Eliya,none
2022-01-20,Polonnaruwa,none
2022-01-20,Puttalam,none
2022-01-20,Ratnapura,none
2022-01-20,Trincomalee,none
2022-01-20,Vavuniya,none
2022-01-21,Ampara,none
2022-01-21,Anuradhapura,none
2022-01-21,Badulla,none
2022-01-21,Batticaloa,none
2022-01-21,Colombo,none
2022-01-21,Galle,none
2022-01-21,Gampaha,none
2022-01-21,Hambantota,none
2022-01-21,Jaffna,none
2022-01-21,Kalutara,none
2022-01-21,Kandy,none
2022-01-21,Kegalle,none
2022-01-21,Kilinochchi,none
2022-01-21,Kurunegala,none
2022-01-21,Mannar,none
2022-01-21,Matale,none
2022-01-21,Matara,none
2022-01-21,Monaragala,none
2022-01-21,Mullaitivu,none
2022-01-21,Nuwara Eliya,none
2022-01-21,Polonnaruwa,none
2022-01-21,Puttalam,none
2022-01-21,Ratnapura,none
2022-01-21,Trincomalee,none
2022-01-21,Vavuniya,none
2022-01-22,Ampara,none
2022-01-22,Anuradhapura,none
2022-01-22,Badulla,none
2022-01-22,Batticaloa,none
2022-01-22,Colombo,none
2022-01-22,Galle,none
2022-01-22,Gampaha,none
2022-01-22,Hambantota,none
2022-01-22,Jaffna,none
2022-01-22,Kalutara,none
2022-01-22,Kandy,none
2022-01-22,Kegalle,none
2022-01-22,Kilinochchi,none
2022-01-22,Kurunegala,none
2022-01-22,Mannar,none
2022-01-22,Matale,none
2022-01-22,Matara,none
2022-01-22,Monaragala,none
2022-01-22,Mullaitivu,none
2022-01-22,Nuwara Eliya,none
2022-01-22,Polonnaruwa,none
2022-01-22,Puttalam,none
2022-01-22,Ratnapura,none
2022-01-22,Trincomalee,none
2022-01-22,Vavuniya,none
2022-01-23,Ampara,none
2022-01-23,Anuradhapura,none
2022-01-23,Badulla,none
2022-01-23,Batticaloa,none
2022-01-23,Colombo,none
2022-01-23,Galle,none
2022-01-23,Gampaha,none
2022-01-23,Hambantota,none
2022-01-23,Jaffna,none
2022-01-23,Kalutara,none
2022-01-23,Kandy,none
2022-01-23,Kegalle,none
2022-01-23,Kilinochchi,none
2022-01-23,Kurunegala,none
2022-01-23,Mannar,none
2022-01-23,Matale,none
2022-01-23,Matara,none
2022-01-23,Monaragala,none
2022-01-23,Mullaitivu,none
2022-01-23,Nuwara Eliya,none
2022-01-23,Polonnaruwa,none
2022-01-23,Puttalam,none
2022-01-23,Ratnapura,none
2022-01-23,Trincomalee,none
2022-01-23,Vavuniya,none
2022-01-24,Ampara,none
2022-01-24,Anuradhapura,none
2022-01-24,Badulla,none
2022-01-24,Batticaloa,none
2022-01-24,Colombo,none
2022-01-24,Galle,none
2022-01-24,Gampaha,none
2022-01-24,Hambantota,none
2022-01-24,Jaffna,none
2022-01-24,Kalutara,none
2022-01-24,Kandy,none
2022-01-24,Kegalle,none
2022-01-24,Kilinochchi,none
2022-01-24,Kurunegala,none
2022-01-24,Mannar,none
2022-01-24,Matale,none
2022-01-24,Matara,none
2022-01-24,Monaragala,none
2022-01-24,Mullaitivu,none
2022-01-24,Nuwara Eliya,none
2022-01-24,Polonnaruwa,none
2022-01-24,Puttalam,none
2022-01-24,Ratnapura,none
2022-01-24,Trincomalee,none
2022-01-24,Vavuniya,none
2022-01-25,Ampara,none
2022-01-25,Anuradhapura,none
2022-01-25,Badulla,none
2022-01-25,Batticaloa,none
2022-01-25,Colombo,none
2022-01-25,Galle,none
2022-01-25,Gampaha,none
2022-01-25,Hambantota,none
2022-01-25,Jaffna,none
2022-01-25,Kalutara,none
2022-01-25,Kandy,none
2022-01-25,Kegalle,none
2022-01-25,Kilinochchi,none
2022-01-25,Kurunegala,none
2022-01-25,Mannar,none
2022-01-25,Matale,none
2022-01-25,Matara,none
2022-01-25,Monaragala,none
2022-01-25,Mullaitivu,none
2022-01-25,Nuwara Eliya,none
2022-01-25,Polonnaruwa,none
2022-01-25,Puttalam,none
2022-01-25,Ratnapura,none
2022-01-25,Trincomalee,none
2022-01-25,Vavuniya,none
2022-01-26,Ampara,none
2022-01-26,Anuradhapura,none
2022-01-26,Badulla,none
2022-01-26,Batticaloa,none
2022-01-26,Colombo,none
2022-01-26,Galle,none
2022-01-26,Gampaha,none
2022-01-26,Hambantota,none
2022-01-26,Jaffna,none
2022-01-26,Kalutara,none
2022-01-26,Kandy,none
2022-01-26,Kegalle,none
2022-01-26,Kilinochchi,none
2022-01-26,Kurunegala,none
2022-01-26,Mannar,none
2022-01-26,Matale,none
2022-01-26,Matara,none
2022-01-26,Monaragala,none
2022-01-26,Mullaitivu,none
2022-01-26,Nuwara Eliya,none
2022-01-26,Polonnaruwa,none
2022-01-26,Puttalam,none
2022-01-26,Ratnapura,none
2022-01-26,Trincomalee,none
2022-01-26,Vavuniya,none
2022-01-27,Ampara,none
2022-01-27,Anuradhapura,none
2022-01-27,Badulla,none
2022-01-27,Batticaloa,none
2022-01-27,Colombo,none
2022-01-27,Galle,none
2022-01-27,Gampaha,none
2022-01-27,Hambantota,none
2022-01-27,Jaffna,none
2022-01-27,Kalutara,none
2022-01-27,Kandy,none
2022-01-27,Kegalle,none
2022-01-27,Kilinochchi,none
2022-01-27,Kurunegala,none
2022-01-27,Mannar,none
2022-01-27,Matale,none
2022-01-27,Matara,none
2022-01-27,Monaragala,none
2022-01-27,Mullaitivu,none
2022-01-27,Nuwara Eliya,none
2022-01-27,Polonnaruwa,none
2022-01-27,Puttalam,none
2022-01-27,Ratnapura,none
2022-01-27,Trincomalee,none
2022-01-27,Vavuniya,none
2022-01-28,Ampara,none
2022-01-28,Anuradhapura,none
2022-01-28,Badulla,none
2022-01-28,Batticaloa,none
2022-01-28,Colombo,none
2022-01-28,Galle,none
2022-01-28,Gampaha,none
2022-01-28,Hambantota,none
2022-01-28,Jaffna,none
2022-01-28,Kalutara,none
2022-01-28,Kandy,none
2022-01-28,Kegalle,none
2022-01-28,Kilinochchi,none
2022-01-28,Kurunegala,none
2022-01-28,Mannar,none
2022-01-28,Matale,none
2022-01-28,Matara,none
2022-01-28,Monaragala,none
2022-01-28,Mullaitivu,none
2022-01-28,Nuwara Eliya,none
2022-01-28,Polonnaruwa,none
2022-01-28,Puttalam,none
2022-01-28,Ratnapura,none
2022-01-28,Trincomalee,none
2022-01-28,Vavuniya,none
2022-01-29,Ampara,none
2022-01-29,Anuradhapura,none
2022-01-29,Badulla,none
2022-01-29,Batticaloa,none
2022-01-29,Colombo,none
2022-01-29,Galle,none
2022-01-29,Gampaha,none
2022-01-29,Hambantota,none
2022-01-29,Jaffna,none
2022-01-29,Kalutara,none
2022-01-29,Kandy,none
2022-01-29,Kegalle,none
2022-01-29,Kilinochchi,none
2022-01-29,Kurunegala,none
2022-01-29,Mannar,none
2022-01-29,Matale,none
2022-01-29,Matara,none
2022-01-29,Monaragala,none
2022-01-29,Mullaitivu,none
2022-01-29,Nuwara Eliya,none
2022-01-29,Polonnaruwa,none
2022-01-29,Puttalam,none
2022-01-29,Ratnapura,none
2022-01-29,Trincomalee,none
2022-01-29,Vavuniya,none
2022-01-30,Ampara,none
2022-01-30,Anuradhapura,none
2022-01-30,Badulla,none
2022-01-30,Batticaloa,none
2022-01-30,Colombo,none
2022-01-30,Galle,none
2022-01-30,Gampaha,none
2022-01-30,Hambantota,none
2022-01-30,Jaffna,none
2022-01-30,Kalutara,none
2022-01-30,Kandy,none
2022-01-30,Kegalle,none
2022-01-30,Kilinochchi,none
2022-01-30,Kurunegala,none
2022-01-30,Mannar,none
2022-01-30,Matale,none
2022-01-30,Matara,none
2022-01-30,Monaragala,none
2022-01-30,Mullaitivu,none
2022-01-30,Nuwara Eliya,none
2022-01-30,Polonnaruwa,none
2022-01-30,Puttalam,none
2022-01-30,Ratnapura,none
2022-01-30,Trincomalee,none
2022-01-30,Vavuniya,none
2022-01-31,Ampara,none
2022-01-31,Anuradhapura,none
2022-01-31,Badulla,none
2022-01-31,Batticaloa,none
2022-01-31,Colombo,none
2022-01-31,Galle,none
2022-01-31,Gampaha,none
2022-01-31,Hambantota,none
2022-01-31,Jaffna,none
2022-01-31,Kalutara,none
2022-01-31,Kandy,none
2022-01-31,Kegalle,none
2022-01-31,Kilinochchi,none
2022-01-31,Kurunegala,none
2022-01-31,Mannar,none
2022-01-31,Matale,none
2022-01-31,Matara,none
2022-01-31,Monaragala,none
2022-01-31,Mullaitivu,none
2022-01-31,Nuwara Eliya,none
2022-01-31,Polonnaruwa,none
2022-01-31,Puttalam,none
2022-01-31,Ratnapura,none
2022-01-31,Trincomalee,none
2022-01-31,Vavuniya,none
2022-02-01,Ampara,none
2022-02-01,Anuradhapura,none
2022-02-01,Badulla,none
2022-02-01,Batticaloa,none
2022-02-01,Colombo,none
2022-02-01,Galle,none
2022-02-01,Gampaha,none
2022-02-01,Hambantota,none
2022-02-01,Jaffna,none
2022-02-01,Kalutara,none
2022-02-01,Kandy,none
2022-02-01,Kegalle,none
2022-02-01,Kilinochchi,none
2022-02-01,Kurunegala,none
2022-02-01,Mannar,none
2022-02-01,Matale,none
2022-02-01,Matara,none
2022-02-01,Monaragala,none
2022-02-01,Mullaitivu,none
2022-02-01,Nuwara Eliya,none
2022-02-01,Polonnaruwa,none
2022-02-01,Puttalam,none
2022-02-01,Ratnapura,none
2022-02-01,Trincomalee,none
2022-02-01,Vavuniya,none
2022-02-02,Ampara,none
2022-02-02,Anuradhapura,none
2022-02-02,Badulla,none
2022-02-02,Batticaloa,none
2022-02-02,Colombo,none
2022-02-02,Galle,none
2022-02-02,Gampaha,none
2022-02-02,Hambantota,none
2022-02-02,Jaffna,none
2022-02-02,Kalutara,none
2022-02-02,Kandy,none
2022-02-02,Kegalle,none
2022-02-02,Kilinochchi,none
2022-02-02,Kurunegala,none
2022-02-02,Mannar,none
2022-02-02,Matale,none
2022-02-02,Matara,none
2022-02-02,Monaragala,none
2022-02-02,Mullaitivu,none
2022-02-02,Nuwara Eliya,none
2022-02-02,Polonnaruwa,none
2022-02-02,Puttalam,none
2022-02-02,Ratnapura,none
2022-02-02,Trincomalee,none
2022-02-02,Vavuniya,none
2022-02-03,Ampara,none
2022-02-03,Anuradhapura,none
2022-02-03,Badulla,none
2022-02-03,Batticaloa,none
2022-02-03,Colombo,none
2022-02-03,Galle,none
2022-02-03,Gampaha,none
2022-02-03,Hambantota,none
2022-02-03,Jaffna,none
2022-02-03,Kalutara,none
2022-02-03,Kandy,none
2022-02-03,Kegalle,none
2022-02-03,Kilinochchi,none
2022-02-03,Kurunegala,none
2022-02-03,Mannar,none
2022-02-03,Matale,none
2022-02-03,Matara,none
2022-02-03,Monaragala,none
2022-02-03,Mullaitivu,none
2022-02-03,Nuwara Eliya,none
2022-02-03,Polonnaruwa,none
2022-02-03,Puttalam,none
2022-02-03,Ratnapura,none
2022-02-03,Trincomalee,none
2022-02-03,Vavuniya,none
2022-02-04,Ampara,none
2022-02-04,Anuradhapura,none
2022-02-04,Badulla,none
2022-02-04,Batticaloa,none
2022-02-04,Colombo,none
2022-02-04,Galle,none
2022-02-04,Gampaha,none
2022-02-04,Hambantota,none
2022-02-04,Jaffna,none
2022-02-04,Kalutara,none
2022-02-04,Kandy,none
2022-02-04,Kegalle,none
2022-02-04,Kilinochchi,none
2022-02-04,Kurunegala,none
2022-02-04,Mannar,none
2022-02-04,Matale,none
2022-02-04,Matara,none
2022-02-04,Monaragala,none
2022-02-04,Mullaitivu,none
2022-02-04,Nuwara Eliya,none
2022-02-04,Polonnaruwa,none
2022-02-04,Puttalam,none
2022-02-04,Ratnapura,none
2022-02-04,Trincomalee,none
2022-02-04,Vavuniya,none
2022-02-05,Ampara,none
2022-02-05,Anuradhapura,none
2022-02-05,Badulla,none
2022-02-05,Batticaloa,none
2022-02-05,Colombo,none
2022-02-05,Galle,none
2022-02-05,Gampaha,none
2022-02-05,Hambantota,none
2022-02-05,Jaffna,none
2022-02-05,Kalutara,none
2022-02-05,Kandy,none
2022-02-05,Kegalle,none
2022-02-05,Kilinochchi,none
2022-02-05,Kurunegala,none
2022-02-05,Mannar,none
2022-02-05,Matale,none
2022-02-05,Matara,none
2022-02-05,Monaragala,none
2022-02-05,Mullaitivu,none
2022-02-05,Nuwara Eliya,none
2022-02-05,Polonnaruwa,none
2022-02-05,Puttalam,none
2022-02-05,Ratnapura,none
2022-02-05,Trincomalee,none
2022-02-05,Vavuniya,none
2022-02-06,Ampara,none
2022-02-06,Anuradhapura,none
2022-02-06,Badulla,none
2022-02-06,Batticaloa,none
2022-02-06,Colombo,none
2022-02-06,Galle,none
2022-02-06,Gampaha,none
2022-02-06,Hambantota,none
2022-02-06,Jaffna,none
2022-02-06,Kalutara,none
2022-02-06,Kandy,none
2022-02-06,Kegalle,none
2022-02-06,Kilinochchi,none
2022-02-06,Kurunegala,none
2022-02-06,Mannar,none
