date,district,rainfall_mm,temperature_c
2022-07-12,Ampara,0.0,29.8
2022-07-13,Ampara,0.0,29.3
2022-07-14,Ampara,0.0,29.4
2022-07-15,Ampara,0.0,30.3
2022-07-16,Ampara,1.0,29.4
2022-07-17,Ampara,1.6,29.4
2022-07-18,Ampara,1.9,28.8
2022-07-19,Ampara,1.0,29.0
2022-07-20,Ampara,1.7,28.4
2022-07-21,Ampara,7.8,28.3
2022-07-22,Ampara,0.0,28.5
2022-07-23,Ampara,1.1,28.5
2022-07-24,Ampara,0.0,27.5
2022-07-25,Ampara,22.6,27.7
2022-07-26,Ampara,11.0,26.6
2022-07-27,Ampara,2.3,26.3
2022-07-28,Ampara,11.7,25.9
2022-07-29,Ampara,15.8,25.7
2022-07-30,Ampara,5.9,26.2
2022-07-31,Ampara,7.3,26.4
2022-08-01,Ampara,22.0,26.1
2022-08-02,Ampara,0.2,26.4
2022-08-03,Ampara,3.6,26.6
2022-08-04,Ampara,0.2,27.3
2022-08-05,Ampara,0.2,27.5
2022-08-06,Ampara,0.0,27.6
2022-08-07,Ampara,0.0,27.9
2022-08-08,Ampara,0.0,28.1
2022-08-09,Ampara,0.0,28.1
2022-08-10,Ampara,0.0,27.9
2022-08-11,Ampara,0.0,28.6
2022-08-12,Ampara,1.9,28.4
2022-08-13,Ampara,0.6,28.5
2022-08-14,Ampara,0.8,28.7
2022-08-15,Ampara,0.6,28.8
2022-08-16,Ampara,0.0,29.3
2022-08-17,Ampara,0.0,29.1
2022-08-18,Ampara,7.9,28.5
2022-08-19,Ampara,0.8,28.4
2022-08-20,Ampara,1.5,28.9
2022-08-21,Ampara,0.4,29.0
2022-08-22,Ampara,3.6,28.5
2022-08-23,Ampara,5.9,28.7
2022-08-24,Ampara,18.9,27.8
2022-08-25,Ampara,7.8,27.1
2022-08-26,Ampara,5.6,26.9
2022-08-27,Ampara,6.0,26.6
2022-08-28,Ampara,2.1,26.9
2022-08-29,Ampara,3.5,27.1
2022-08-30,Ampara,22.9,26.2
2022-08-31,Ampara,34.7,25.3
2022-09-01,Ampara,15.8,25.8
2022-09-02,Ampara,7.4,26.7
2022-09-03,Ampara,13.8,26.7
2022-09-04,Ampara,15.9,26.6
2022-09-05,Ampara,6.9,26.7
2022-09-06,Ampara,0.4,26.1
2022-09-07,Ampara,0.0,27.5
2022-09-08,Ampara,0.0,27.8
2022-09-09,Ampara,0.0,28.1
2022-09-10,Ampara,0.0,28.3
2022-09-11,Ampara,0.1,28.3
2022-09-12,Ampara,0.1,27.5
2022-09-13,Ampara,0.4,27.9
2022-09-14,Ampara,0.6,28.6
2022-09-15,Ampara,1.0,27.7
2022-09-16,Ampara,0.3,27.9
2022-09-17,Ampara,0.2,28.4
2022-09-18,Ampara,0.4,28.5
2022-09-19,Ampara,0.1,28.7
2022-09-20,Ampara,0.7,28.6
2022-09-21,Ampara,0.1,28.7
2022-09-22,Ampara,0.5,28.6
2022-09-23,Ampara,1.1,28.4
2022-09-24,Ampara,0.9,29.1
2022-09-25,Ampara,0.6,28.5
2022-09-26,Ampara,0.8,28.7
2022-09-27,Ampara,1.0,28.0
2022-09-28,Ampara,1.5,28.3
2022-09-29,Ampara,1.1,28.7
2022-09-30,Ampara,1.1,29.0
2022-10-01,Ampara,0.4,28.7
2022-10-02,Ampara,0.7,29.2
2022-10-03,Ampara,11.3,29.0
2022-10-04,Ampara,3.1,29.0
2022-10-05,Ampara,14.3,28.5
2022-10-06,Ampara,0.8,27.6
2022-10-07,Ampara,2.3,27.4
2022-10-08,Ampara,33.6,26.1
2022-10-09,Ampara,9.3,26.7
2022-10-10,Ampara,3.0,26.8
2022-10-11,Ampara,3.4,27.0
2022-10-12,Ampara,10.9,26.4
2022-10-13,Ampara,17.7,25.6
2022-10-14,Ampara,19.9,25.6
2022-10-15,Ampara,14.5,25.9
2022-10-16,Ampara,4.9,25.9
2022-10-17,Ampara,7.5,25.8
2022-10-18,Ampara,11.0,26.2
2022-10-19,Ampara,17.8,26.7
2022-10-20,Ampara,15.1,26.2
2022-10-21,Ampara,9.9,24.9
2022-10-22,Ampara,3.2,25.9
2022-10-23,Ampara,4.8,26.1
2022-10-24,Ampara,19.7,25.7
2022-10-25,Ampara,17.5,25.7
2022-10-26,Ampara,0.1,26.3
2022-10-27,Ampara,1.0,26.7
2022-10-28,Ampara,0.0,26.3
2022-10-29,Ampara,2.2,26.0
2022-10-30,Ampara,31.8,25.0
2022-10-31,Ampara,14.7,25.7
2022-11-01,Ampara,31.8,25.6
2022-11-02,Ampara,17.2,25.3
2022-11-03,Ampara,48.4,25.0
2022-11-04,Ampara,27.1,25.0
2022-11-05,Ampara,39.4,24.3
2022-11-06,Ampara,2.9,25.3
2022-11-07,Ampara,10.5,24.8
2022-11-08,Ampara,10.6,24.7
2022-11-09,Ampara,21.8,23.8
2022-11-10,Ampara,1.6,25.3
2022-11-11,Ampara,1.3,26.5
2022-11-12,Ampara,34.3,25.3
2022-11-13,Ampara,13.9,24.7
2022-11-14,Ampara,9.8,24.7
2022-11-15,Ampara,0.6,25.2
2022-11-16,Ampara,0.2,25.9
2022-11-17,Ampara,0.0,25.6
2022-11-18,Ampara,0.0,25.3
2022-11-19,Ampara,1.8,24.8
2022-11-20,Ampara,0.4,26.3
2022-11-21,Ampara,0.0,25.9
2022-11-22,Ampara,0.4,26.4
2022-11-23,Ampara,1.5,26.6
2022-11-24,Ampara,1.4,26.2
2022-11-25,Ampara,2.7,25.9
2022-11-26,Ampara,2.8,26.0
2022-11-27,Ampara,1.4,25.8
2022-11-28,Ampara,0.1,26.2
2022-11-29,Ampara,0.1,26.0
2022-11-30,Ampara,1.8,25.8
2022-12-01,Ampara,4.5,25.8
2022-12-02,Ampara,20.4,25.0
2022-12-03,Ampara,8.8,24.9
2022-12-04,Ampara,17.9,25.0
2022-12-05,Ampara,0.8,25.2
2022-12-06,Ampara,0.5,25.4
2022-12-07,Ampara,0.8,25.0
2022-12-08,Ampara,5.8,23.8
2022-12-09,Ampara,0.3,23.8
2022-12-10,Ampara,0.2,25.1
2022-12-11,Ampara,0.3,25.7
2022-12-12,Ampara,4.0,25.7
2022-12-13,Ampara,2.2,25.6
2022-12-14,Ampara,0.2,25.6
2022-12-15,Ampara,2.6,24.7
2022-12-16,Ampara,1.5,25.2
2022-12-17,Ampara,12.9,24.2
2022-12-18,Ampara,30.1,23.7
2022-12-19,Ampara,43.1,23.7
2022-12-20,Ampara,21.6,24.4
2022-12-21,Ampara,8.8,24.0
2022-12-22,Ampara,4.0,25.0
2022-12-23,Ampara,2.4,25.4
2022-12-24,Ampara,1.7,25.6
2022-12-25,Ampara,38.5,24.2
2022-12-26,Ampara,2.8,25.4
2022-12-27,Ampara,1.6,25.2
2022-12-28,Ampara,2.9,25.2
2022-12-29,Ampara,1.4,25.4
2022-12-30,Ampara,0.1,24.9
2022-12-31,Ampara,0.0,24.3
2023-01-01,Ampara,0.0,24.4
2023-01-02,Ampara,0.8,24.5
2023-01-03,Ampara,0.3,24.8
2023-01-04,Ampara,0.1,24.9
2023-01-05,Ampara,3.2,25.3
2023-01-06,Ampara,21.1,24.1
2023-01-07,Ampara,7.9,24.2
2023-01-08,Ampara,4.1,24.4
2023-01-09,Ampara,1.2,24.9
2023-01-10,Ampara,0.0,24.0
2023-01-11,Ampara,0.0,23.4
2023-01-12,Ampara,0.0,23.2
2023-01-13,Ampara,0.0,23.8
2023-01-14,Ampara,0.3,24.6
2023-01-15,Ampara,1.5,24.8
2023-01-16,Ampara,5.5,25.0
2023-01-17,Ampara,1.9,24.7
2023-01-18,Ampara,0.9,25.0
2023-01-19,Ampara,0.0,24.6
2023-01-20,Ampara,0.0,25.4
2023-01-21,Ampara,38.2,23.6
2023-01-22,Ampara,31.8,23.5
2023-01-23,Ampara,8.1,25.2
2023-01-24,Ampara,5.8,24.7
2023-01-25,Ampara,0.1,24.5
2023-01-26,Ampara,0.7,24.7
2023-01-27,Ampara,12.0,24.3
2023-01-28,Ampara,1.5,24.4
2023-01-29,Ampara,0.2,24.2
2023-01-30,Ampara,1.0,25.1
2023-01-31,Ampara,20.6,24.0
2023-02-01,Ampara,2.0,25.8
2023-02-02,Ampara,17.5,25.1
2023-02-03,Ampara,11.8,25.2
2023-02-04,Ampara,11.3,24.9
2023-02-05,Ampara,2.1,25.4
2023-02-06,Ampara,8.3,24.6
2023-02-07,Ampara,3.8,24.9
2023-02-08,Ampara,0.6,25.5
2023-02-09,Ampara,0.7,25.2
2023-02-10,Ampara,0.7,25.2
2023-02-11,Ampara,0.0,25.0
2023-02-12,Ampara,0.1,24.9
2023-02-13,Ampara,0.0,24.4
2023-02-14,Ampara,0.0,24.7
2023-02-15,Ampara,0.0,23.8
2023-02-16,Ampara,0.0,24.6
2023-02-17,Ampara,0.7,25.3
2023-02-18,Ampara,4.3,25.1
2023-02-19,Ampara,11.0,24.9
2023-02-20,Ampara,10.8,24.5
2023-02-21,Ampara,0.7,25.3
2023-02-22,Ampara,2.7,24.8
2023-02-23,Ampara,0.4,25.4
2023-02-24,Ampara,1.1,25.7
2023-02-25,Ampara,3.3,25.7
2023-02-26,Ampara,0.0,24.9
2023-02-27,Ampara,7.3,24.9
2023-02-28,Ampara,33.4,23.9
2023-03-01,Ampara,8.3,25.3
2023-03-02,Ampara,0.6,25.8
2023-03-03,Ampara,3.1,25.5
2023-03-04,Ampara,21.5,24.0
2023-03-05,Ampara,18.1,24.5
2023-03-06,Ampara,1.0,26.0
2023-03-07,Ampara,1.4,26.0
2023-03-08,Ampara,3.1,25.9
2023-03-09,Ampara,4.3,25.8
2023-03-10,Ampara,1.5,25.6
2023-03-11,Ampara,4.6,26.0
2023-03-12,Ampara,9.8,25.2
2023-03-13,Ampara,2.7,26.2
2023-03-14,Ampara,1.4,25.9
2023-03-15,Ampara,2.2,26.1
2023-03-16,Ampara,5.0,26.6
2023-03-17,Ampara,0.6,26.8
2023-03-18,Ampara,2.4,26.7
2023-03-19,Ampara,27.5,26.0
2023-03-20,Ampara,14.8,25.5
2023-03-21,Ampara,2.1,26.6
2023-03-22,Ampara,0.0,27.5
2023-03-23,Ampara,2.1,27.0
2023-03-24,Ampara,0.1,26.9
2023-03-25,Ampara,0.1,27.3
2023-03-26,Ampara,0.7,27.1
2023-03-27,Ampara,0.0,27.2
2023-03-28,Ampara,0.0,26.8
2023-03-29,Ampara,0.0,26.9
2023-03-30,Ampara,0.0,27.0
2023-03-31,Ampara,0.0,27.1
2023-04-01,Ampara,2.1,27.1
2023-04-02,Ampara,3.2,26.8
2023-04-03,Ampara,0.9,27.3
2023-04-04,Ampara,4.4,26.3
2023-04-05,Ampara,1.0,26.8
2023-04-06,Ampara,0.3,27.2
2023-04-07,Ampara,1.8,27.2
2023-04-08,Ampara,2.1,27.2
2023-04-09,Ampara,0.2,27.5
2023-04-10,Ampara,0.9,27.5
2023-04-11,Ampara,0.2,28.0
2023-04-12,Ampara,0.2,28.2
2023-04-13,Ampara,0.7,28.1
2023-04-14,Ampara,0.0,28.2
2023-04-15,Ampara,0.2,28.2
2023-04-16,Ampara,0.7,28.0
2023-04-17,Ampara,0.0,28.2
2023-04-18,Ampara,0.0,28.3
2023-04-19,Ampara,0.1,28.9
2023-04-20,Ampara,0.8,29.1
2023-04-21,Ampara,0.7,28.7
2023-04-22,Ampara,10.5,27.2
2023-04-23,Ampara,2.5,27.9
2023-04-24,Ampara,2.0,27.8
2023-04-25,Ampara,6.1,27.4
2023-04-26,Ampara,9.3,26.9
2023-04-27,Ampara,6.6,26.9
2023-04-28,Ampara,11.5,26.8
2023-04-29,Ampara,8.8,26.0
2023-04-30,Ampara,3.1,27.0
2023-05-01,Ampara,6.6,27.2
2023-05-02,Ampara,12.8,26.9
2023-05-03,Ampara,28.7,26.8
2023-05-04,Ampara,37.3,26.8
2023-05-05,Ampara,2.5,26.3
2023-05-06,Ampara,1.0,27.2
2023-05-07,Ampara,12.1,26.4
2023-05-08,Ampara,2.6,26.4
2023-05-09,Ampara,10.5,26.7
2023-05-10,Ampara,2.5,27.0
2023-05-11,Ampara,1.9,28.0
2023-05-12,Ampara,0.4,28.7
2023-05-13,Ampara,1.2,29.0
2023-05-14,Ampara,0.0,28.7
2023-05-15,Ampara,0.0,28.7
2023-05-16,Ampara,0.0,29.4
2023-05-17,Ampara,0.0,29.8
2023-05-18,Ampara,1.9,29.0
2023-05-19,Ampara,0.8,28.7
2023-05-20,Ampara,0.9,28.6
2023-05-21,Ampara,0.3,28.9
2023-05-22,Ampara,6.4,28.2
2023-05-23,Ampara,0.9,28.2
2023-05-24,Ampara,0.3,29.1
2023-05-25,Ampara,0.0,29.2
2023-05-26,Ampara,0.3,29.2
2023-05-27,Ampara,0.1,29.1
2023-05-28,Ampara,0.6,29.5
2023-05-29,Ampara,0.5,29.1
2023-05-30,Ampara,2.3,28.7
2023-05-31,Ampara,1.1,28.9
2023-06-01,Ampara,0.4,29.6
2023-06-02,Ampara,0.4,29.6
2023-06-03,Ampara,4.3,29.5
2023-06-04,Ampara,1.6,29.5
2023-06-05,Ampara,0.0,29.8
2023-06-06,Ampara,6.0,29.8
2023-06-07,Ampara,2.1,29.8
2023-06-08,Ampara,2.3,30.0
2023-06-09,Ampara,0.5,30.2
2023-06-10,Ampara,4.7,30.0
2023-06-11,Ampara,0.8,29.6
2023-06-12,Ampara,2.0,29.5
2023-06-13,Ampara,5.2,29.3
2023-06-14,Ampara,0.5,29.6
2023-06-15,Ampara,0.6,30.6
2023-06-16,Ampara,0.1,30.8
2023-06-17,Ampara,0.0,29.7
2023-06-18,Ampara,2.6,29.1
2023-06-19,Ampara,0.2,29.3
2023-06-20,Ampara,0.9,30.0
2023-06-21,Ampara,10.2,29.0
2023-06-22,Ampara,0.8,29.5
2023-06-23,Ampara,0.1,29.7
2023-06-24,Ampara,0.2,29.8
2023-06-25,Ampara,0.2,29.4
2023-06-26,Ampara,4.7,29.2
2023-06-27,Ampara,3.5,29.2
2023-06-28,Ampara,3.1,28.7
2023-06-29,Ampara,12.2,28.3
2023-06-30,Ampara,1.3,28.9
2023-07-01,Ampara,0.4,29.4
2023-07-02,Ampara,20.7,28.2
2023-07-03,Ampara,0.5,28.4
2023-07-04,Ampara,0.7,28.0
2023-07-05,Ampara,0.2,27.2
2023-07-06,Ampara,0.3,28.0
2023-07-07,Ampara,1.9,28.3
2023-07-08,Ampara,1.4,29.2
2023-07-09,Ampara,0.0,29.3
2023-07-10,Ampara,0.1,29.4
2023-07-11,Ampara,0.9,29.0
2023-07-12,Ampara,0.1,30.0
2023-07-13,Ampara,0.2,29.4
2023-07-14,Ampara,0.5,29.4
2023-07-15,Ampara,1.2,29.4
2023-07-16,Ampara,0.6,30.0
2023-07-17,Ampara,1.2,29.9
2023-07-18,Ampara,0.2,29.9
2023-07-19,Ampara,0.0,29.9
2023-07-20,Ampara,0.0,30.7
2023-07-21,Ampara,0.0,30.5
2023-07-22,Ampara,0.8,30.4
2023-07-23,Ampara,1.2,30.1
2023-07-24,Ampara,0.8,29.3
2023-07-25,Ampara,0.4,30.0
2023-07-26,Ampara,2.1,29.8
2023-07-27,Ampara,1.2,30.2
2023-07-28,Ampara,0.7,29.7
2023-07-29,Ampara,1.3,30.3
2023-07-30,Ampara,0.6,30.4
2023-07-31,Ampara,1.2,30.9
2023-08-01,Ampara,0.0,30.0
2023-08-02,Ampara,0.0,30.4
2023-08-03,Ampara,0.6,30.4
2023-08-04,Ampara,1.2,30.4
2023-08-05,Ampara,0.7,30.3
2023-08-06,Ampara,0.1,30.9
2023-08-07,Ampara,1.6,30.9
2023-08-08,Ampara,7.1,30.8
2023-08-09,Ampara,1.1,30.3
2023-08-10,Ampara,1.1,30.1
2023-08-11,Ampara,3.6,29.9
2023-08-12,Ampara,4.1,29.6
2023-08-13,Ampara,2.1,30.3
2023-08-14,Ampara,0.9,30.5
2023-08-15,Ampara,0.5,31.0
2023-08-16,Ampara,2.3,29.8
2023-08-17,Ampara,0.1,30.6
2023-08-18,Ampara,1.2,30.2
2023-08-19,Ampara,0.3,30.2
2023-08-20,Ampara,0.1,29.6
2023-08-21,Ampara,0.0,29.9
2023-08-22,Ampara,0.9,30.8
2023-08-23,Ampara,2.9,30.5
2023-08-24,Ampara,1.8,30.7
2023-08-25,Ampara,0.2,30.8
2023-08-26,Ampara,0.4,31.3
2023-08-27,Ampara,5.1,30.9
2023-08-28,Ampara,2.8,30.0
2023-08-29,Ampara,1.8,29.6
2023-08-30,Ampara,3.0,28.4
2023-08-31,Ampara,8.9,28.9
2023-09-01,Ampara,0.1,28.9
2023-09-02,Ampara,0.4,28.8
2023-09-03,Ampara,1.2,27.7
2023-09-04,Ampara,0.0,27.9
2023-09-05,Ampara,0.8,29.2
2023-09-06,Ampara,1.2,29.1
2023-09-07,Ampara,1.9,28.9
2023-09-08,Ampara,0.5,29.6
2023-09-09,Ampara,2.1,29.6
2023-09-10,Ampara,12.0,29.2
2023-09-11,Ampara,4.8,28.6
2023-09-12,Ampara,7.3,29.2
2023-09-13,Ampara,9.4,29.6
2023-09-14,Ampara,10.2,28.6
2023-09-15,Ampara,0.5,29.3
2023-09-16,Ampara,1.8,29.7
2023-09-17,Ampara,15.8,28.4
2023-09-18,Ampara,6.2,28.2
2023-09-19,Ampara,15.0,26.7
2023-09-20,Ampara,1.5,27.2
2023-09-21,Ampara,0.4,28.2
2023-09-22,Ampara,18.7,27.4
2023-09-23,Ampara,18.1,27.0
2023-09-24,Ampara,2.9,27.3
2023-09-25,Ampara,10.6,27.3
2023-09-26,Ampara,4.5,28.1
2023-09-27,Ampara,5.0,27.8
2023-09-28,Ampara,2.2,27.4
2023-09-29,Ampara,13.7,27.2
2023-09-30,Ampara,6.1,27.9
2023-10-01,Ampara,7.8,27.6
2023-10-02,Ampara,14.0,27.4
2023-10-03,Ampara,7.1,27.6
2023-10-04,Ampara,0.6,27.9
2023-10-05,Ampara,12.0,26.9
2023-10-06,Ampara,11.7,26.8
2023-10-07,Ampara,0.2,27.1
2023-10-08,Ampara,7.6,27.1
2023-10-09,Ampara,18.8,26.6
2023-10-10,Ampara,20.2,26.4
2023-10-11,Ampara,6.7,26.3
2023-10-12,Ampara,5.2,26.3
2023-10-13,Ampara,16.5,25.6
2023-10-14,Ampara,21.6,25.9
2023-10-15,Ampara,8.7,26.2
2023-10-16,Ampara,0.5,27.0
2023-10-17,Ampara,36.1,25.9
2023-10-18,Ampara,31.4,24.9
2023-10-19,Ampara,15.5,25.6
2023-10-20,Ampara,26.4,25.6
2023-10-21,Ampara,23.9,25.9
2023-10-22,Ampara,26.0,26.0
2023-10-23,Ampara,3.0,25.9
2023-10-24,Ampara,3.3,26.6
2023-10-25,Ampara,0.1,26.7
2023-10-26,Ampara,0.8,26.9
2023-10-27,Ampara,0.1,26.8
2023-10-28,Ampara,11.1,25.7
2023-10-29,Ampara,1.7,26.2
2023-10-30,Ampara,5.8,26.0
2023-10-31,Ampara,11.8,26.1
2023-11-01,Ampara,17.6,25.8
2023-11-02,Ampara,24.0,25.7
2023-11-03,Ampara,16.2,25.8
2023-11-04,Ampara,17.8,25.4
2023-11-05,Ampara,12.0,25.3
2023-11-06,Ampara,14.4,26.0
2023-11-07,Ampara,24.6,25.9
2023-11-08,Ampara,16.5,25.8
2023-11-09,Ampara,27.4,25.4
2023-11-10,Ampara,10.2,26.1
2023-11-11,Ampara,9.6,26.1
2023-11-12,Ampara,34.0,25.2
2023-11-13,Ampara,16.3,25.8
2023-11-14,Ampara,7.1,25.6
2023-11-15,Ampara,18.9,26.3
2023-11-16,Ampara,7.7,26.4
2023-11-17,Ampara,7.0,26.2
2023-11-18,Ampara,27.3,25.8
2023-11-19,Ampara,29.4,25.3
2023-11-20,Ampara,5.2,25.9
2023-11-21,Ampara,18.9,26.3
2023-11-22,Ampara,38.4,25.5
2023-11-23,Ampara,5.4,26.6
2023-11-24,Ampara,0.8,26.8
2023-11-25,Ampara,5.0,26.4
2023-11-26,Ampara,7.6,25.7
2023-11-27,Ampara,26.7,25.5
2023-11-28,Ampara,37.8,25.0
2023-11-29,Ampara,17.5,25.0
